id,score,referenceName,referenceTime,content,tag
12493781870,5,Apple_iPhone_8,2019/2/27 18:58,快递 服务 好 先 一段时间 再 评价,1
11659453217,5,Apple_iPhone_8,2018/7/1 8:51,大屏幕 舒服 文字 照片 视频 舒适 色彩 还原 逼真 恰到好处 拍照 质量 相当 好 媲美 相机 操作 简单 画面 处理 自然 和谐 浓浓的 图感 原图 感觉,1
12217619724,2,Apple_iPhone_8,2018/12/4 7:41,手机 查 一下 应该 国行 正品 数据线 耳机 应该 调换 正品,0
12385959046,5,Apple_iPhone_8,2019/1/18 17:30,外观 好看 磕碰 运行 速度 很快 今天 刚到 测试 一下 京东 物流 很快 一直 京东 买手机 买 第三个 苹果 省心 回 苹果 话 买 赚 便宜,1
12177740156,5,Apple_iPhone_8,2018/11/23 17:19,京东 买 好几个 手机 一直 好 工作 第一次 买 贵 手机 一个 手机 京东 买 坏过 卡 买 之前 评论 担心 收到 检查 好 坏 瑕 丝 插卡 好 几天 评价 安卓 用惯 想 返回 键 苹果 系统 目前 适应 中 满意 反应 信号 好 信任 京东,1
12370787385,1,Apple_iPhone_8,2019/1/14 12:10,手机 价格 看图 不想 吐槽,0
10919289382,5,Apple_iPhone_8,2017/11/3 11:12,昨天 犹豫 久 终于 下单 今天 一大早 快递 员 师傅 顶 凛冽 寒风 手机 送到 手上 打开 手机 发现 原来 手机 无缝 链接 知道 一种 惊喜 一种 熟悉 整体 感觉 新 手机 棒 手感 舒适 希望 以后 使用 过程 中 更好,1
11739437485,1,Apple_iPhone_8,2018/7/25 10:17,网络 不好 一直 反冲 网络 很卡,0
12421353948,5,Apple_iPhone_8,2019/1/28 22:32,手机 挺 好 价钱 掉 太快 买 买回来 不到 降到 四千七百 晕,1
10941758171,5,Apple_iPhone_8,2017/11/8 21:38,速度 超级 金色 有点 粉粉 土豪 不错 像素 对比 下 高清 一些 买不起 不错 稳 赶上 活动 价 今天 活动 开心,1
12503890979,5,Apple_iPhone_8,2019/3/2 21:49,手机 包装 完整 一直 苹果 性能 好 满意,1
12501051068,5,Apple_iPhone_8,2019/3/2 1:08,物流 超快 开箱 验货 应该 正品,1
12486728992,5,Apple_iPhone_8,2019/2/25 15:46,不错 不错 真 好,1
10859311769,1,Apple_iPhone_8,2017/10/14 12:00,买 一个 星期 跌价 ....,0
10942874921,5,Apple_iPhone_8,2017/11/9 9:34,美在 智慧 抗水 防尘 系统 反应 灵敏 很快 卡顿 终于 超 喜欢 颜色 好看 有点 杏色 有点 米 黄 感觉 玻璃 亮,1
12368076271,5,Apple_iPhone_8,2019/1/13 15:56,不错 额 东西 物流 很快 很快 很快 好,1
12201888104,5,Apple_iPhone_8,2018/11/29 20:55,运行 平稳 系统 运行 速度 很快 尺寸 金属 质感 符合 人机工程 学 长时间 运行 明显 发热 现象 充电 速度 很快 待机时间 很长 连贯 通话 小时候 左右 待机 小时 价格 赶上 双十 合适,1
12151478251,5,Apple_iPhone_8,2018/11/17 21:59,活动 买 现在 一段时间 评论 手机 正品 新机 好 系统 运营 流畅 玩游戏 坚持 两天 问题 好 这是 第四次 京东 自营 买 手机 后续 段时间 再,1
12426983620,5,Apple_iPhone_8,2019/1/30 21:10,手机 收到 一直 苹果 手机 这次 买 送 朋友 很大 方好 朋友 喜欢,1
